packageName	permission	purpose	permissionText	purposeText	rate	level
com.google.android.apps.plus	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google accounts	1.4	
com.google.android.apps.plus	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to enable adding friends from contacts	0.45	
com.google.android.apps.translate	CAMERA	INTERNAL	can use camera or flashlight on the phone	to allow users to take a photo and translate text in it	1.1	
com.google.android.apps.translate	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	in order to translate what is recorded by phone	1.7	
com.google.android.apps.translate	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google account	1.0	
com.google.android.apps.unveil	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to recognize famous landmark	0.6666666666666666	
com.google.android.apps.unveil	CAMERA	INTERNAL	can use camera or flashlight on the phone	to allow users to search by taking a picture	1.2222222222222223	
com.google.android.gm	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	for sending Email to contacts	1.2	
com.google.android.gm	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google account	1.4736842105263157	
com.google.android.gms	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to sync contacts with Google account	0.5263157894736842	
com.google.android.gms	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google accounts	1.5555555555555556	
com.google.android.gms	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to provide location information to other apps	-0.21052631578947367	A
com.google.android.gms	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	0.3684210526315789	
com.google.android.gms	AUTHENTICATE_ACCOUNTS	INTERNAL	can use user's account authentication information (like password) or create new accounts	to manage app account informaiton on users' phone	1.1666666666666667	
com.google.android.googlequicksearchbox	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to enable features like search contacts and call contacts	0.3684210526315789	
com.google.android.googlequicksearchbox	SEND_SMS	INTERNAL	can send out SMS messages	to allow users to send text messages through vioce command	0.85	
com.google.android.googlequicksearchbox	BLUETOOTH	INTERNAL	can connect to user's Bluetooth devices	to allow users to connect Bluetooth headset	1.3	
com.google.android.googlequicksearchbox	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google accounts	1.25	
com.google.android.maps.mytracks	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to track users path	1.15	
com.google.android.maps.mytracks	BLUETOOTH	INTERNAL	can connect to user's Bluetooth devices	to allow users to connect with third-party biometric (like heart rate) sensors	0.65	
com.google.android.maps.mytracks	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.25	A
com.google.android.maps.mytracks	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google accounts	0.75	
com.google.android.maps.mytracks	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to share tracks with friends in phone book	-0.6	C
com.google.android.music	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google accounts	1.1428571428571428	
com.google.android.talk	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to enable hangout with contacts from phone book	1.05	
com.google.android.talk	SEND_SMS	INTERNAL	can send out SMS messages	to replace the system default sms functionality	0.9	
com.google.android.talk	CAMERA	INTERNAL	can use camera or flashlight on the phone	to allow users to send photos and have video calls	1.2	
com.google.android.talk	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google accounts	1.4	
com.google.android.talk	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to allow users to share location with friends	0.6	
com.google.android.talk	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to identify different phones used by users, usually for security purpos	0.15	
com.google.android.videos	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google accounts	1.1538461538461535	
com.google.android.youtube	CAMERA	INTERNAL	can use camera or flashlight on the phone	for unclear reasons	-0.3	A
com.google.android.youtube	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login Google account	0.9285714285714286	
com.google.earth	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google accounts	1.1578947368421053	
com.halfbrick.fruitninjafree	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to show nearby places where users can get free Starfruit	-0.5	B
com.halfbrick.fruitninjafree	ACCESS_FINE_LOCATION	TARGETED_ADS	can use user's precise location	for delivering location targeted advertisement	-1.15	D
com.halfbrick.fruitninjafree	ACCESS_COARSE_LOCATION	TARGETED_ADS	can use user's approximate location	for delivering location targeted advertisement	-0.65	C
com.halfbrick.fruitninjafree	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.2	A
com.halfbrick.fruitninjafree	READ_PHONE_STATE	TARGETED_ADS	can read phone current state information like signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement	-0.5263157894736842	B
com.halfbrick.fruitninjafree	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	0.65	
com.halfbrick.jetpackjoyride	ACCESS_COARSE_LOCATION	TARGETED_ADS	can use user's approximate location	for delivering location targeted advertisement	-0.6	C
com.halfbrick.jetpackjoyride	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.45	B
com.halfbrick.jetpackjoyride	READ_PHONE_STATE	TARGETED_ADS	can read phone current state information like signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement	-0.55	B
com.halfbrick.jetpackjoyride	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to link with social network platform	0.1	
com.igg.castleclash	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.45	B
com.igg.castleclash	READ_PHONE_STATE	TARGETED_ADS	can use user's phone ID or phone number	to identify users for delivering targeted advertisement	-1.2	D
com.igg.castleclash	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	0.45	
com.imangi.templerun2	READ_PHONE_STATE	MOBILE_ANALYTICS	can use user's phone ID or phone number	to identify users for market/customer analysis	-0.9	D
com.instagram.android	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	for tagging photos with users' current location	0.6842105263157895	
com.instagram.android	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login Instagram	1.3333333333333333	
com.instagram.android	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	when users take videos	1.2352941176470589	
com.instagram.android	CAMERA	INTERNAL	can use camera or flashlight on the phone	for taking photos	1.7894736842105263	
com.instagram.android	READ_CONTACTS	INTERNAL	can read user's contact list (phone book)	to allow users to find friends who use Instagram in their phone book 	0.35294117647058826	
com.jb.gosms	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	for sending messages to contacts	1.0	
com.jb.gosms	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	to allow users to send audio messages	1.15	
com.jb.gosms	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to identify on which phone users are using	0.05263157894736842	
com.jb.gosms	SEND_SMS	INTERNAL	can send out SMS messages	to replace the system default sms functionality	0.55	
com.kakao.talk	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to enable sync contacts with phone book	0.7894736842105263	
com.kakao.talk	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	to allow users to send voice messages	1.0	
com.kakao.talk	BLUETOOTH	INTERNAL	can connect to user's Bluetooth devices	to allow users to chat through Bluetooth devices	1.0	
com.kakao.talk	ACCESS_COARSE_LOCATION	TARGETED_ADS	can use user's approximate location	for delivering location targeted advertisement	-0.3	A
com.kakao.talk	CAMERA	INTERNAL	can use camera or flashlight on the phone	to allow users to shoot videos and send to friends	0.7894736842105263	
com.kakao.talk	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	1.15	
com.kakao.talk	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to allow users to send locations to friends	-0.15	A
com.kakao.talk	ACCESS_FINE_LOCATION	TARGETED_ADS	can use user's precise location	for delivering location targeted advertisement	-0.4	B
com.kakao.talk	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to identify on which phone users are using	0.3157894736842105	
com.kfactormedia.mycalendarmobile	READ_PHONE_STATE	TARGETED_ADS	can read phone current state information like signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement	-0.6111111111111112	C
com.kii.safe	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.2222222222222222	A
com.kii.safe	CAMERA	INTERNAL	can use camera or flashlight on the phone	to allow users take private photos	0.9411764705882352	
com.kii.safe	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	0.9444444444444444	
com.kiloo.subwaysurf	READ_PHONE_STATE	MOBILE_ANALYTICS	can use user's phone ID or phone number	to identify users for market/customer analysis	-1.1	D
com.magmamobile.game.BubbleBlast2	READ_PHONE_STATE	SOCIAL_GAMING	can read phone current state information like signal, carrier, device ID and phone number	to identify users on a game platform	0.1	
com.magmamobile.game.BubbleBlast2	READ_PHONE_STATE	TARGETED_ADS	can read phone current state information like signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement	-0.6	C
com.magmamobile.game.mousetrap	READ_PHONE_STATE	TARGETED_ADS	can read phone current state information like signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement	-0.7222222222222222	C
com.netflix.mediaclient	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.3076923076923077	B
com.netflix.mediaclient	READ_PHONE_STATE	MOBILE_ANALYTICS	can use user's phone ID or phone number	to identify users for market/customer analysis	-0.26666666666666666	A
com.nordcurrent.Games101	ACCESS_COARSE_LOCATION	TARGETED_ADS	can use user's approximate location	for delivering location targeted advertisement	-0.35	B
com.nordcurrent.Games101	READ_PHONE_STATE	MOBILE_ANALYTICS	can read phone current state information like signal, carrier, device ID and phone number	to identify users for market/customer analysis	-0.85	D
com.nordcurrent.Games101	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.45	B
com.nordcurrent.Games101	READ_PHONE_STATE	TARGETED_ADS	can read phone current state information like signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement	-0.7	C
com.omgpop.dstfree	READ_PHONE_STATE	UTILITY	can read phone current state information like signal, carrier, device ID and phone number	for functionality purpose	0.05882352941176471	
com.omgpop.dstfree	READ_PHONE_STATE	TARGETED_ADS	can read phone current state information like signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement	-0.6842105263157895	C
com.omgpop.dstfree	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.6875	C
com.omgpop.dstfree	READ_PHONE_STATE	MOBILE_ANALYTICS	can read phone current state information like signal, carrier, device ID and phone number	to identify users for market/customer analysis	-0.7894736842105263	D
com.opera.browser	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.25	A
com.outfit7.mytalkingtomfree	READ_PHONE_STATE	TARGETED_ADS	can use user's phone ID or phone number	to identify users for delivering targeted advertisement	-1.0	D
com.outfit7.mytalkingtomfree	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.35	B
com.outfit7.mytalkingtomfree	READ_PHONE_STATE	MOBILE_ANALYTICS	can use user's phone ID or phone number	to identify users for market/customer analysis	-0.55	B
com.outfit7.mytalkingtomfree	RECORD_AUDIO	UTILITY	can record audio through microphone on the phone	for creating game audio	0.8	
com.outfit7.mytalkingtomfree	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	to record users' talking to Tom	0.75	
com.outfit7.mytalkingtomfree	RECORD_AUDIO	TARGETED_ADS	can record audio through microphone on the phone	for devlivering targeted advertisement	-0.75	D
com.outfit7.talkingtom	READ_PHONE_STATE	TARGETED_ADS	can use user's phone ID or phone number	to identify users for delivering targeted advertisement	-0.75	D
com.outfit7.talkingtom	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.8	D
com.outfit7.talkingtom	READ_PHONE_STATE	MOBILE_ANALYTICS	can use user's phone ID or phone number	to identify users for market/customer analysis	-0.7368421052631579	C
com.outfit7.talkingtom	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	to record users' talking to Tom	1.2105263157894737	
com.outfit7.talkingtom	RECORD_AUDIO	TARGETED_ADS	can record audio through microphone on the phone	for devlivering targeted advertisement	-1.1111111111111112	D
com.outfit7.talkingtom2free	READ_PHONE_STATE	MOBILE_ANALYTICS	can use user's phone ID or phone number	to identify users for market/customer analysis	-0.65	C
com.outfit7.talkingtom2free	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.35	B
com.outfit7.talkingtom2free	READ_PHONE_STATE	TARGETED_ADS	can use user's phone ID or phone number	to identify users for delivering targeted advertisement	-0.7	C
com.outfit7.talkingtom2free	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	to record users' talking to Tom	0.95	
com.outfit7.talkingtom2free	RECORD_AUDIO	TARGETED_ADS	can record audio through microphone on the phone	for devlivering targeted advertisement	-0.7	C
com.pandora.android	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.2857142857142857	A
com.pandora.android	BLUETOOTH	INTERNAL	can connect to user's Bluetooth devices	to allow users to listen through Bluetooth devices	1.2727272727272727	
com.picsart.studio	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to allow users to tag locations with photos	0.3	
com.popularapp.periodcalendar	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	0.85	
com.qihoo.security	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to add contacts to whitelist in case marking them as spammers	0.3	
com.qihoo.security	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to collect and submit system crash reports	0.1	
com.qihoo.security	CAMERA	INTERNAL	can use camera or flashlight on the phone	to enable flashlight features in the multifunctional notification bar	0.6	
com.rovio.angrybirds	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	for business analytics done by the developer	-0.5789473684210527	C
com.rovio.angrybirds	READ_PHONE_STATE	MOBILE_ANALYTICS	can use user's phone ID or phone number	to identify users for market/customer analysis	-0.75	D
com.rovio.angrybirdsrio	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.55	B
com.rovio.angrybirdsrio	READ_PHONE_STATE	MOBILE_ANALYTICS	can use user's phone ID or phone number	to identify users for market/customer analysis	-0.5	B
com.rovio.angrybirdsseasons	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.3684210526315789	B
